CSO,Location
CSO_002,Arcadia St PS
CSO_004,Tukey's Siphon
CSO_005,Randall St
CSO_006,Johansen St
CSO_007,Ocean Ave
CSO_008,Clifton St
CSO_009,George St
CSO_010,Mackworth St
CSO_011,Codman St
CSO_012,Vannah Ave
CSO_013,Forest at Belmont
CSO_014,Forest at Coyle
CSO_015,Dartmouth at Baxter
CSO_016,Bank Rd
CSO_017,Preble at Marginal
CSO_018,Franklin at Marginal
CSO_019,Anderson at Fox
CSO_020,Northeast PS
CSO_023,India St PS
CSO_024,Franklin at Middle
CSO_025,Long Wharf
CSO_026,Maple St
CSO_027,Clark St
CSO_028,Emery St
CSO_029,Commercial St
CSO_030,Saint John St
CSO_032,Thompson's Pt PS
CSO_033,Fore River PS
CSO_039,Rowe Ave
CSO_042,"Warren Ave 60"""
CSO_043,"Warren Ave 24"""
